date,merchant,amount,type,category
2025-09-19,Amazon,3437,expense,Shopping
2025-09-22,Spotify,1311,expense,Entertainment
2025-09-24,Spotify,1396,expense,Entertainment
2025-09-26,Mobile Bill,2453,expense,Bills
2025-09-27,Ola,499,expense,Transport
2025-10-01,Salary,45000,income,Income
2025-10-04,Flipkart,3870,expense,Shopping
2025-10-17,Netflix,1145,expense,Entertainment
2025-10-18,Ola,435,expense,Transport
2025-10-19,Ola,488,expense,Transport
2025-10-20,Spotify,367,expense,Entertainment
2025-10-23,Uber,765,expense,Transport
2025-10-24,Swiggy,403,expense,Food
2025-10-25,Dominos,306,expense,Food
2025-10-26,BookMyShow,434,expense,Entertainment
2025-10-28,Ola,271,expense,Transport
2025-11-01,Salary,45000,income,Income
2025-11-02,Uber,692,expense,Transport
2025-11-03,Metro,793,expense,Transport
2025-11-07,Internet Bill,1494,expense,Bills
2025-11-08,Metro,714,expense,Transport
2025-11-12,Mobile Bill,2017,expense,Bills
2025-11-13,Uber,530,expense,Transport
2025-11-15,Metro,570,expense,Transport
2025-11-20,Mobile Bill,2404,expense,Bills
2025-11-23,Amazon,2584,expense,Shopping
2025-11-25,BookMyShow,1449,expense,Entertainment
2025-11-27,Spotify,572,expense,Entertainment
2025-11-30,Metro,382,expense,Transport
2025-12-01,Salary,45000,income,Income
2025-12-03,Myntra,3629,expense,Shopping
2025-12-10,Flipkart,2293,expense,Shopping
2025-12-11,Mobile Bill,2438,expense,Bills
2025-12-13,Mobile Bill,1941,expense,Bills
2025-12-15,Uber,223,expense,Transport
2025-12-17,Internet Bill,1258,expense,Bills
2025-12-18,Spotify,1407,expense,Entertainment
2025-12-21,Swiggy,453,expense,Food
2025-12-22,Flipkart,415,expense,Shopping
2025-12-24,Swiggy,716,expense,Food
2025-12-25,Myntra,4321,expense,Shopping
2025-12-26,Dominos,441,expense,Food
2025-12-29,Zomato,639,expense,Food
2025-12-30,Zomato,653,expense,Food
2025-12-31,Swiggy,302,expense,Food
2026-01-01,Salary,45000,income,Income
2026-01-03,Amazon,4871,expense,Shopping
2026-01-07,Mobile Bill,2345,expense,Bills
2026-01-09,Mobile Bill,1750,expense,Bills
2026-01-11,Swiggy,790,expense,Food
2026-01-12,Swiggy,395,expense,Food
2026-01-13,Swiggy,152,expense,Food
2026-01-17,Metro,389,expense,Transport
2026-01-31,Flipkart,4962,expense,Shopping
2026-02-01,Salary,45000,income,Income
2026-02-04,Spotify,1224,expense,Entertainment
2026-02-11,Myntra,469,expense,Shopping
2026-02-14,Swiggy,631,expense,Food
2026-02-17,Mobile Bill,2514,expense,Bills
2026-02-21,Swiggy,487,expense,Food
2026-02-27,Zomato,408,expense,Food
2026-02-28,BookMyShow,202,expense,Entertainment
2026-03-01,Salary,45000,income,Income
2026-03-04,Metro,610,expense,Transport
2026-03-07,Electricity Bill,1679,expense,Bills
2026-03-10,Electricity Bill,1148,expense,Bills
2026-03-11,Dominos,567,expense,Food
2026-03-12,Zomato,270,expense,Food
2026-03-14,Metro,379,expense,Transport
2026-03-19,Myntra,4463,expense,Shopping
2026-03-21,Zomato,941,expense,Food
2026-03-27,Metro,693,expense,Transport
2026-03-30,Mobile Bill,1913,expense,Bills
2026-03-31,Mobile Bill,2365,expense,Bills
2026-04-01,Salary,45000,income,Income
2026-04-04,Netflix,1041,expense,Entertainment
2026-04-05,BookMyShow,980,expense,Entertainment
2026-04-11,Internet Bill,1859,expense,Bills
2026-04-20,Spotify,893,expense,Entertainment
2026-04-23,Metro,646,expense,Transport
2026-04-25,BookMyShow,273,expense,Entertainment
2026-04-27,Uber,192,expense,Transport
2026-04-29,Zomato,320,expense,Food
2026-05-01,Salary,45000,income,Income
2026-05-02,Zomato,517,expense,Food
2026-05-04,Mobile Bill,2818,expense,Bills
2026-05-06,Amazon,3433,expense,Shopping
2026-05-08,Electricity Bill,1451,expense,Bills
2026-05-10,Metro,109,expense,Transport
2026-05-13,Electricity Bill,802,expense,Bills
2026-05-15,Mobile Bill,2237,expense,Bills
2026-05-18,Spotify,418,expense,Entertainment
2026-05-19,Mobile Bill,2854,expense,Bills
2026-05-20,Uber,774,expense,Transport
2026-05-22,Dominos,913,expense,Food
2026-05-25,Myntra,3186,expense,Shopping
2026-05-26,Myntra,2353,expense,Shopping
2026-06-01,Salary,45000,income,Income
2026-06-03,Netflix,1386,expense,Entertainment
2026-06-05,Ola,525,expense,Transport
2026-06-06,Myntra,3297,expense,Shopping
2026-06-10,Spotify,893,expense,Entertainment
2026-06-13,Myntra,3555,expense,Shopping
2026-06-18,Electricity Bill,2362,expense,Bills
2026-06-21,BookMyShow,960,expense,Entertainment
2026-06-22,Flipkart,505,expense,Shopping
2026-06-25,Electricity Bill,758,expense,Bills
2026-06-30,Swiggy,461,expense,Food
