date,merchant,amount,type,category
2025-12-05,Rent,12000,expense,Housing
2025-12-06,Zomato,966,expense,Food
2025-12-09,Metro,441,expense,Transport
2025-12-10,Electricity Bill,2147,expense,Bills
2025-12-12,Internet Bill,799,expense,Bills
2025-12-13,Ola,430,expense,Transport
2025-12-15,Netflix,649,expense,Entertainment
2025-12-20,Zomato,787,expense,Food
2025-12-20,Flipkart,2285,expense,Shopping
2025-12-24,Zomato,985,expense,Food
2025-12-25,Ola,496,expense,Transport
2025-12-25,Swiggy,985,expense,Food
2026-01-01,Salary,48000,income,Income
2026-01-05,Rent,12000,expense,Housing
2026-01-09,Zomato,823,expense,Food
2026-01-10,Electricity Bill,1415,expense,Bills
2026-01-11,Metro,308,expense,Transport
2026-01-11,Uber,225,expense,Transport
2026-01-12,Internet Bill,799,expense,Bills
2026-01-15,Netflix,649,expense,Entertainment
2026-01-16,Dominos,893,expense,Food
2026-01-17,Dominos,752,expense,Food
2026-01-20,Flipkart,1847,expense,Shopping
2026-01-20,Metro,474,expense,Transport
2026-01-23,Zomato,629,expense,Food
2026-01-23,Ola,197,expense,Transport
2026-01-26,Dominos,473,expense,Food
2026-02-01,Salary,48000,income,Income
2026-02-04,Zomato,550,expense,Food
2026-02-05,Rent,12000,expense,Housing
2026-02-05,Metro,277,expense,Transport
2026-02-07,Ola,218,expense,Transport
2026-02-10,Electricity Bill,1225,expense,Bills
2026-02-12,Internet Bill,799,expense,Bills
2026-02-15,Netflix,649,expense,Entertainment
2026-02-15,Swiggy,549,expense,Food
2026-02-16,Swiggy,889,expense,Food
2026-02-17,Uber,240,expense,Transport
2026-02-20,Amazon,1522,expense,Shopping
2026-02-22,Zomato,374,expense,Food
2026-02-25,Zomato,693,expense,Food
2026-02-26,Metro,387,expense,Transport
2026-03-01,Salary,48000,income,Income
2026-03-05,Rent,12000,expense,Housing
2026-03-06,Metro,296,expense,Transport
2026-03-10,Electricity Bill,2020,expense,Bills
2026-03-11,Ola,375,expense,Transport
2026-03-12,Internet Bill,799,expense,Bills
2026-03-15,Netflix,649,expense,Entertainment
2026-03-17,Dominos,843,expense,Food
2026-03-20,Ola,470,expense,Transport
2026-03-20,Amazon,2561,expense,Shopping
2026-03-20,Swiggy,756,expense,Food
2026-03-22,Zomato,816,expense,Food
2026-03-22,Zomato,624,expense,Food
2026-03-24,Ola,542,expense,Transport
2026-03-26,Zomato,786,expense,Food
2026-04-01,Salary,48000,income,Income
2026-04-05,Rent,12000,expense,Housing
2026-04-05,Uber,576,expense,Transport
2026-04-07,Zomato,536,expense,Food
2026-04-09,Zomato,365,expense,Food
2026-04-10,Electricity Bill,1440,expense,Bills
2026-04-11,Zomato,643,expense,Food
2026-04-12,Internet Bill,799,expense,Bills
2026-04-15,Netflix,649,expense,Entertainment
2026-04-17,Ola,544,expense,Transport
2026-04-20,Swiggy,382,expense,Food
2026-04-20,Flipkart,3169,expense,Shopping
2026-04-21,Ola,362,expense,Transport
2026-04-22,Metro,160,expense,Transport
2026-04-25,Dominos,456,expense,Food
2026-05-01,Salary,48000,income,Income
2026-05-05,Rent,12000,expense,Housing
2026-05-10,Electricity Bill,2077,expense,Bills
2026-05-10,Swiggy,799,expense,Food
2026-05-12,Internet Bill,799,expense,Bills
2026-05-12,Zomato,699,expense,Food
2026-05-14,Metro,497,expense,Transport
2026-05-15,Netflix,649,expense,Entertainment
2026-05-16,Metro,234,expense,Transport
2026-05-18,Uber,468,expense,Transport
2026-05-18,Zomato,306,expense,Food
2026-05-19,Uber,349,expense,Transport
2026-05-20,Dominos,859,expense,Food
2026-05-20,Flipkart,2617,expense,Shopping
2026-05-27,Zomato,889,expense,Food
2026-06-01,Salary,48000,income,Income
2026-06-03,Dominos,703,expense,Food
2026-06-05,Rent,12000,expense,Housing
2026-06-06,Ola,159,expense,Transport
2026-06-10,Electricity Bill,1746,expense,Bills
2026-06-11,Zomato,688,expense,Food
2026-06-12,Internet Bill,799,expense,Bills
2026-06-14,Ola,539,expense,Transport
2026-06-15,Netflix,649,expense,Entertainment
2026-06-16,Ola,535,expense,Transport
2026-06-17,Ola,577,expense,Transport
2026-06-17,Swiggy,486,expense,Food
2026-06-20,Flipkart,2366,expense,Shopping
2026-06-21,Swiggy,327,expense,Food
2026-06-23,Swiggy,738,expense,Food
